years,AFG,AGO,ALB,AND,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESH,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GLP,GMB,GNB,GNQ,GRC,GRD,GTM,GUF,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LIE,LKA,LSO,LTU,LUX,LVA,MAR,MDA,MDG,MEX,MKD,MLI,MMR,MNE,MNG,MOZ,MRT,MTQ,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NRU,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRI,PRK,PRT,PRY,PSE,QAT,REU,ROU,RUS,RWA,SAU,SDN,SEN,SLB,SLE,SLV,SMR,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SYR,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,URY,USA,UZB,VEN,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
2020,5.6%,4.3%,2.0%,#DIV/0!,4.3%,3.4%,3.4%,3.4%,2.0%,2.0%,3.4%,4.3%,2.0%,4.3%,4.3%,5.6%,2.0%,4.3%,3.4%,2.0%,3.4%,3.4%,3.4%,3.4%,3.4%,3.4%,5.6%,5.6%,4.3%,4.3%,2.0%,2.0%,3.4%,5.6%,4.3%,4.3%,4.3%,4.3%,3.4%,4.3%,4.3%,3.4%,#DIV/0!,2.0%,2.0%,2.0%,4.3%,3.4%,2.0%,3.4%,4.3%,3.4%,4.3%,4.3%,#DIV/0!,2.0%,2.0%,4.3%,2.0%,5.6%,2.0%,5.6%,4.3%,2.0%,3.4%,4.3%,4.3%,#DIV/0!,4.3%,4.3%,4.3%,2.0%,3.4%,3.4%,#DIV/0!,3.4%,5.6%,3.4%,2.0%,3.4%,2.0%,5.6%,5.6%,2.0%,4.3%,4.3%,2.0%,2.0%,2.0%,3.4%,4.3%,5.6%,3.4%,4.3%,3.4%,5.6%,3.4%,5.6%,4.3%,5.6%,4.3%,4.3%,4.3%,#DIV/0!,5.6%,4.3%,2.0%,2.0%,2.0%,4.3%,3.4%,4.3%,3.4%,2.0%,4.3%,5.6%,2.0%,5.6%,4.3%,4.3%,#DIV/0!,4.3%,4.3%,5.6%,4.3%,#DIV/0!,4.3%,4.3%,3.4%,2.0%,2.0%,5.6%,5.6%,2.0%,4.3%,5.6%,3.4%,3.4%,5.6%,5.6%,5.6%,2.0%,3.4%,#DIV/0!,2.0%,3.4%,4.3%,4.3%,#DIV/0!,2.0%,3.4%,4.3%,4.3%,4.3%,4.3%,5.6%,4.3%,3.4%,2.0%,#DIV/0!,2.0%,4.3%,4.3%,3.4%,2.0%,2.0%,2.0%,#DIV/0!,4.3%,4.3%,5.6%,3.4%,3.4%,5.6%,5.6%,3.4%,4.3%,2.0%,5.6%,#DIV/0!,4.3%,4.3%,3.4%,3.4%,2.0%,3.4%,3.4%,5.6%,5.6%,5.6%,4.3%,4.3%,4.3%,4.3%
2021,6.0%,5.2%,2.0%,#DIV/0!,5.2%,3.5%,3.9%,3.5%,2.0%,2.0%,3.9%,5.2%,2.0%,5.2%,5.2%,6.0%,2.0%,5.2%,3.5%,2.0%,3.9%,3.5%,3.5%,3.5%,3.5%,3.5%,6.0%,6.0%,5.2%,5.2%,2.0%,2.0%,3.5%,6.0%,5.2%,5.2%,5.2%,5.2%,3.5%,5.2%,5.2%,3.5%,#DIV/0!,2.0%,2.0%,2.0%,5.2%,3.5%,2.0%,3.5%,5.2%,3.5%,5.2%,5.2%,#DIV/0!,2.0%,2.0%,5.2%,2.0%,6.0%,2.0%,6.0%,5.2%,2.0%,3.9%,5.2%,5.2%,#DIV/0!,5.2%,5.2%,5.2%,2.0%,3.5%,3.5%,#DIV/0!,3.5%,6.0%,3.5%,2.0%,3.5%,2.0%,6.0%,6.0%,2.0%,5.2%,5.2%,2.0%,2.0%,2.0%,3.5%,5.2%,6.0%,3.9%,5.2%,3.9%,6.0%,3.5%,6.0%,5.2%,6.0%,5.2%,5.2%,5.2%,#DIV/0!,6.0%,5.2%,2.0%,2.0%,2.0%,5.2%,3.9%,5.2%,3.5%,2.0%,5.2%,6.0%,2.0%,6.0%,5.2%,5.2%,#DIV/0!,5.2%,5.2%,6.0%,5.2%,#DIV/0!,5.2%,5.2%,3.5%,2.0%,2.0%,6.0%,6.0%,2.0%,5.2%,6.0%,3.5%,3.5%,6.0%,6.0%,6.0%,2.0%,3.5%,#DIV/0!,2.0%,3.5%,5.2%,5.2%,#DIV/0!,2.0%,3.9%,5.2%,5.2%,5.2%,5.2%,6.0%,5.2%,3.5%,2.0%,#DIV/0!,2.0%,5.2%,5.2%,3.5%,2.0%,2.0%,2.0%,#DIV/0!,5.2%,5.2%,6.0%,3.9%,3.9%,6.0%,6.0%,3.5%,5.2%,2.0%,6.0%,#DIV/0!,5.2%,5.2%,3.9%,3.5%,2.0%,3.9%,3.5%,6.0%,6.0%,6.0%,5.2%,5.2%,5.2%,5.2%
2022,5.7%,5.0%,1.9%,#DIV/0!,5.0%,3.5%,3.8%,3.5%,1.9%,1.9%,3.8%,5.0%,1.9%,5.0%,5.0%,5.7%,1.9%,5.0%,3.5%,1.9%,3.8%,3.5%,3.5%,3.5%,3.5%,3.5%,5.7%,5.7%,5.0%,5.0%,1.9%,1.9%,3.5%,5.7%,5.0%,5.0%,5.0%,5.0%,3.5%,5.0%,5.0%,3.5%,#DIV/0!,1.9%,1.9%,1.9%,5.0%,3.5%,1.9%,3.5%,5.0%,3.5%,5.0%,5.0%,#DIV/0!,1.9%,1.9%,5.0%,1.9%,5.7%,1.9%,5.7%,5.0%,1.9%,3.8%,5.0%,5.0%,#DIV/0!,5.0%,5.0%,5.0%,1.9%,3.5%,3.5%,#DIV/0!,3.5%,5.7%,3.5%,1.9%,3.5%,1.9%,5.7%,5.7%,1.9%,5.0%,5.0%,1.9%,1.9%,1.9%,3.5%,5.0%,5.7%,3.8%,5.0%,3.8%,5.7%,3.5%,5.7%,5.0%,5.7%,5.0%,5.0%,5.0%,#DIV/0!,5.7%,5.0%,1.9%,1.9%,1.9%,5.0%,3.8%,5.0%,3.5%,1.9%,5.0%,5.7%,1.9%,5.7%,5.0%,5.0%,#DIV/0!,5.0%,5.0%,5.7%,5.0%,#DIV/0!,5.0%,5.0%,3.5%,1.9%,1.9%,5.7%,5.7%,1.9%,5.0%,5.7%,3.5%,3.5%,5.7%,5.7%,5.7%,1.9%,3.5%,#DIV/0!,1.9%,3.5%,5.0%,5.0%,#DIV/0!,1.9%,3.8%,5.0%,5.0%,5.0%,5.0%,5.7%,5.0%,3.5%,1.9%,#DIV/0!,1.9%,5.0%,5.0%,3.5%,1.9%,1.9%,1.9%,#DIV/0!,5.0%,5.0%,5.7%,3.8%,3.8%,5.7%,5.7%,3.5%,5.0%,1.9%,5.7%,#DIV/0!,5.0%,5.0%,3.8%,3.5%,1.9%,3.8%,3.5%,5.7%,5.7%,5.7%,5.0%,5.0%,5.0%,5.0%
2023,5.5%,4.9%,1.9%,#DIV/0!,4.9%,3.4%,3.7%,3.4%,1.9%,1.9%,3.7%,4.9%,1.9%,4.9%,4.9%,5.5%,1.9%,4.9%,3.4%,1.9%,3.7%,3.4%,3.4%,3.4%,3.4%,3.4%,5.5%,5.5%,4.9%,4.9%,1.9%,1.9%,3.4%,5.5%,4.9%,4.9%,4.9%,4.9%,3.4%,4.9%,4.9%,3.4%,#DIV/0!,1.9%,1.9%,1.9%,4.9%,3.4%,1.9%,3.4%,4.9%,3.4%,4.9%,4.9%,#DIV/0!,1.9%,1.9%,4.9%,1.9%,5.5%,1.9%,5.5%,4.9%,1.9%,3.7%,4.9%,4.9%,#DIV/0!,4.9%,4.9%,4.9%,1.9%,3.4%,3.4%,#DIV/0!,3.4%,5.5%,3.4%,1.9%,3.4%,1.9%,5.5%,5.5%,1.9%,4.9%,4.9%,1.9%,1.9%,1.9%,3.4%,4.9%,5.5%,3.7%,4.9%,3.7%,5.5%,3.4%,5.5%,4.9%,5.5%,4.9%,4.9%,4.9%,#DIV/0!,5.5%,4.9%,1.9%,1.9%,1.9%,4.9%,3.7%,4.9%,3.4%,1.9%,4.9%,5.5%,1.9%,5.5%,4.9%,4.9%,#DIV/0!,4.9%,4.9%,5.5%,4.9%,#DIV/0!,4.9%,4.9%,3.4%,1.9%,1.9%,5.5%,5.5%,1.9%,4.9%,5.5%,3.4%,3.4%,5.5%,5.5%,5.5%,1.9%,3.4%,#DIV/0!,1.9%,3.4%,4.9%,4.9%,#DIV/0!,1.9%,3.7%,4.9%,4.9%,4.9%,4.9%,5.5%,4.9%,3.4%,1.9%,#DIV/0!,1.9%,4.9%,4.9%,3.4%,1.9%,1.9%,1.9%,#DIV/0!,4.9%,4.9%,5.5%,3.7%,3.7%,5.5%,5.5%,3.4%,4.9%,1.9%,5.5%,#DIV/0!,4.9%,4.9%,3.7%,3.4%,1.9%,3.7%,3.4%,5.5%,5.5%,5.5%,4.9%,4.9%,4.9%,4.9%
2024,5.3%,4.8%,1.9%,#DIV/0!,4.8%,3.3%,3.5%,3.3%,1.9%,1.9%,3.5%,4.8%,1.9%,4.8%,4.8%,5.3%,1.9%,4.8%,3.3%,1.9%,3.5%,3.3%,3.3%,3.3%,3.3%,3.3%,5.3%,5.3%,4.8%,4.8%,1.9%,1.9%,3.3%,5.3%,4.8%,4.8%,4.8%,4.8%,3.3%,4.8%,4.8%,3.3%,#DIV/0!,1.9%,1.9%,1.9%,4.8%,3.3%,1.9%,3.3%,4.8%,3.3%,4.8%,4.8%,#DIV/0!,1.9%,1.9%,4.8%,1.9%,5.3%,1.9%,5.3%,4.8%,1.9%,3.5%,4.8%,4.8%,#DIV/0!,4.8%,4.8%,4.8%,1.9%,3.3%,3.3%,#DIV/0!,3.3%,5.3%,3.3%,1.9%,3.3%,1.9%,5.3%,5.3%,1.9%,4.8%,4.8%,1.9%,1.9%,1.9%,3.3%,4.8%,5.3%,3.5%,4.8%,3.5%,5.3%,3.3%,5.3%,4.8%,5.3%,4.8%,4.8%,4.8%,#DIV/0!,5.3%,4.8%,1.9%,1.9%,1.9%,4.8%,3.5%,4.8%,3.3%,1.9%,4.8%,5.3%,1.9%,5.3%,4.8%,4.8%,#DIV/0!,4.8%,4.8%,5.3%,4.8%,#DIV/0!,4.8%,4.8%,3.3%,1.9%,1.9%,5.3%,5.3%,1.9%,4.8%,5.3%,3.3%,3.3%,5.3%,5.3%,5.3%,1.9%,3.3%,#DIV/0!,1.9%,3.3%,4.8%,4.8%,#DIV/0!,1.9%,3.5%,4.8%,4.8%,4.8%,4.8%,5.3%,4.8%,3.3%,1.9%,#DIV/0!,1.9%,4.8%,4.8%,3.3%,1.9%,1.9%,1.9%,#DIV/0!,4.8%,4.8%,5.3%,3.5%,3.5%,5.3%,5.3%,3.3%,4.8%,1.9%,5.3%,#DIV/0!,4.8%,4.8%,3.5%,3.3%,1.9%,3.5%,3.3%,5.3%,5.3%,5.3%,4.8%,4.8%,4.8%,4.8%
2025,5.1%,4.7%,1.9%,#DIV/0!,4.7%,3.2%,3.4%,3.2%,1.9%,1.9%,3.4%,4.7%,1.9%,4.7%,4.7%,5.1%,1.9%,4.7%,3.2%,1.9%,3.4%,3.2%,3.2%,3.2%,3.2%,3.2%,5.1%,5.1%,4.7%,4.7%,1.9%,1.9%,3.2%,5.1%,4.7%,4.7%,4.7%,4.7%,3.2%,4.7%,4.7%,3.2%,#DIV/0!,1.9%,1.9%,1.9%,4.7%,3.2%,1.9%,3.2%,4.7%,3.2%,4.7%,4.7%,#DIV/0!,1.9%,1.9%,4.7%,1.9%,5.1%,1.9%,5.1%,4.7%,1.9%,3.4%,4.7%,4.7%,#DIV/0!,4.7%,4.7%,4.7%,1.9%,3.2%,3.2%,#DIV/0!,3.2%,5.1%,3.2%,1.9%,3.2%,1.9%,5.1%,5.1%,1.9%,4.7%,4.7%,1.9%,1.9%,1.9%,3.2%,4.7%,5.1%,3.4%,4.7%,3.4%,5.1%,3.2%,5.1%,4.7%,5.1%,4.7%,4.7%,4.7%,#DIV/0!,5.1%,4.7%,1.9%,1.9%,1.9%,4.7%,3.4%,4.7%,3.2%,1.9%,4.7%,5.1%,1.9%,5.1%,4.7%,4.7%,#DIV/0!,4.7%,4.7%,5.1%,4.7%,#DIV/0!,4.7%,4.7%,3.2%,1.9%,1.9%,5.1%,5.1%,1.9%,4.7%,5.1%,3.2%,3.2%,5.1%,5.1%,5.1%,1.9%,3.2%,#DIV/0!,1.9%,3.2%,4.7%,4.7%,#DIV/0!,1.9%,3.4%,4.7%,4.7%,4.7%,4.7%,5.1%,4.7%,3.2%,1.9%,#DIV/0!,1.9%,4.7%,4.7%,3.2%,1.9%,1.9%,1.9%,#DIV/0!,4.7%,4.7%,5.1%,3.4%,3.4%,5.1%,5.1%,3.2%,4.7%,1.9%,5.1%,#DIV/0!,4.7%,4.7%,3.4%,3.2%,1.9%,3.4%,3.2%,5.1%,5.1%,5.1%,4.7%,4.7%,4.7%,4.7%
2026,4.9%,4.6%,1.8%,#DIV/0!,4.6%,3.2%,3.3%,3.2%,1.8%,1.8%,3.3%,4.6%,1.8%,4.6%,4.6%,4.9%,1.8%,4.6%,3.2%,1.8%,3.3%,3.2%,3.2%,3.2%,3.2%,3.2%,4.9%,4.9%,4.6%,4.6%,1.8%,1.8%,3.2%,4.9%,4.6%,4.6%,4.6%,4.6%,3.2%,4.6%,4.6%,3.2%,#DIV/0!,1.8%,1.8%,1.8%,4.6%,3.2%,1.8%,3.2%,4.6%,3.2%,4.6%,4.6%,#DIV/0!,1.8%,1.8%,4.6%,1.8%,4.9%,1.8%,4.9%,4.6%,1.8%,3.3%,4.6%,4.6%,#DIV/0!,4.6%,4.6%,4.6%,1.8%,3.2%,3.2%,#DIV/0!,3.2%,4.9%,3.2%,1.8%,3.2%,1.8%,4.9%,4.9%,1.8%,4.6%,4.6%,1.8%,1.8%,1.8%,3.2%,4.6%,4.9%,3.3%,4.6%,3.3%,4.9%,3.2%,4.9%,4.6%,4.9%,4.6%,4.6%,4.6%,#DIV/0!,4.9%,4.6%,1.8%,1.8%,1.8%,4.6%,3.3%,4.6%,3.2%,1.8%,4.6%,4.9%,1.8%,4.9%,4.6%,4.6%,#DIV/0!,4.6%,4.6%,4.9%,4.6%,#DIV/0!,4.6%,4.6%,3.2%,1.8%,1.8%,4.9%,4.9%,1.8%,4.6%,4.9%,3.2%,3.2%,4.9%,4.9%,4.9%,1.8%,3.2%,#DIV/0!,1.8%,3.2%,4.6%,4.6%,#DIV/0!,1.8%,3.3%,4.6%,4.6%,4.6%,4.6%,4.9%,4.6%,3.2%,1.8%,#DIV/0!,1.8%,4.6%,4.6%,3.2%,1.8%,1.8%,1.8%,#DIV/0!,4.6%,4.6%,4.9%,3.3%,3.3%,4.9%,4.9%,3.2%,4.6%,1.8%,4.9%,#DIV/0!,4.6%,4.6%,3.3%,3.2%,1.8%,3.3%,3.2%,4.9%,4.9%,4.9%,4.6%,4.6%,4.6%,4.6%
2027,4.7%,4.4%,1.8%,#DIV/0!,4.4%,3.1%,3.2%,3.1%,1.8%,1.8%,3.2%,4.4%,1.8%,4.4%,4.4%,4.7%,1.8%,4.4%,3.1%,1.8%,3.2%,3.1%,3.1%,3.1%,3.1%,3.1%,4.7%,4.7%,4.4%,4.4%,1.8%,1.8%,3.1%,4.7%,4.4%,4.4%,4.4%,4.4%,3.1%,4.4%,4.4%,3.1%,#DIV/0!,1.8%,1.8%,1.8%,4.4%,3.1%,1.8%,3.1%,4.4%,3.1%,4.4%,4.4%,#DIV/0!,1.8%,1.8%,4.4%,1.8%,4.7%,1.8%,4.7%,4.4%,1.8%,3.2%,4.4%,4.4%,#DIV/0!,4.4%,4.4%,4.4%,1.8%,3.1%,3.1%,#DIV/0!,3.1%,4.7%,3.1%,1.8%,3.1%,1.8%,4.7%,4.7%,1.8%,4.4%,4.4%,1.8%,1.8%,1.8%,3.1%,4.4%,4.7%,3.2%,4.4%,3.2%,4.7%,3.1%,4.7%,4.4%,4.7%,4.4%,4.4%,4.4%,#DIV/0!,4.7%,4.4%,1.8%,1.8%,1.8%,4.4%,3.2%,4.4%,3.1%,1.8%,4.4%,4.7%,1.8%,4.7%,4.4%,4.4%,#DIV/0!,4.4%,4.4%,4.7%,4.4%,#DIV/0!,4.4%,4.4%,3.1%,1.8%,1.8%,4.7%,4.7%,1.8%,4.4%,4.7%,3.1%,3.1%,4.7%,4.7%,4.7%,1.8%,3.1%,#DIV/0!,1.8%,3.1%,4.4%,4.4%,#DIV/0!,1.8%,3.2%,4.4%,4.4%,4.4%,4.4%,4.7%,4.4%,3.1%,1.8%,#DIV/0!,1.8%,4.4%,4.4%,3.1%,1.8%,1.8%,1.8%,#DIV/0!,4.4%,4.4%,4.7%,3.2%,3.2%,4.7%,4.7%,3.1%,4.4%,1.8%,4.7%,#DIV/0!,4.4%,4.4%,3.2%,3.1%,1.8%,3.2%,3.1%,4.7%,4.7%,4.7%,4.4%,4.4%,4.4%,4.4%
2028,4.5%,4.3%,1.8%,#DIV/0!,4.3%,3.0%,3.1%,3.0%,1.8%,1.8%,3.1%,4.3%,1.8%,4.3%,4.3%,4.5%,1.8%,4.3%,3.0%,1.8%,3.1%,3.0%,3.0%,3.0%,3.0%,3.0%,4.5%,4.5%,4.3%,4.3%,1.8%,1.8%,3.0%,4.5%,4.3%,4.3%,4.3%,4.3%,3.0%,4.3%,4.3%,3.0%,#DIV/0!,1.8%,1.8%,1.8%,4.3%,3.0%,1.8%,3.0%,4.3%,3.0%,4.3%,4.3%,#DIV/0!,1.8%,1.8%,4.3%,1.8%,4.5%,1.8%,4.5%,4.3%,1.8%,3.1%,4.3%,4.3%,#DIV/0!,4.3%,4.3%,4.3%,1.8%,3.0%,3.0%,#DIV/0!,3.0%,4.5%,3.0%,1.8%,3.0%,1.8%,4.5%,4.5%,1.8%,4.3%,4.3%,1.8%,1.8%,1.8%,3.0%,4.3%,4.5%,3.1%,4.3%,3.1%,4.5%,3.0%,4.5%,4.3%,4.5%,4.3%,4.3%,4.3%,#DIV/0!,4.5%,4.3%,1.8%,1.8%,1.8%,4.3%,3.1%,4.3%,3.0%,1.8%,4.3%,4.5%,1.8%,4.5%,4.3%,4.3%,#DIV/0!,4.3%,4.3%,4.5%,4.3%,#DIV/0!,4.3%,4.3%,3.0%,1.8%,1.8%,4.5%,4.5%,1.8%,4.3%,4.5%,3.0%,3.0%,4.5%,4.5%,4.5%,1.8%,3.0%,#DIV/0!,1.8%,3.0%,4.3%,4.3%,#DIV/0!,1.8%,3.1%,4.3%,4.3%,4.3%,4.3%,4.5%,4.3%,3.0%,1.8%,#DIV/0!,1.8%,4.3%,4.3%,3.0%,1.8%,1.8%,1.8%,#DIV/0!,4.3%,4.3%,4.5%,3.1%,3.1%,4.5%,4.5%,3.0%,4.3%,1.8%,4.5%,#DIV/0!,4.3%,4.3%,3.1%,3.0%,1.8%,3.1%,3.0%,4.5%,4.5%,4.5%,4.3%,4.3%,4.3%,4.3%
2029,4.4%,4.3%,1.8%,#DIV/0!,4.3%,3.0%,3.0%,3.0%,1.8%,1.8%,3.0%,4.3%,1.8%,4.3%,4.3%,4.4%,1.8%,4.3%,3.0%,1.8%,3.0%,3.0%,3.0%,3.0%,3.0%,3.0%,4.4%,4.4%,4.3%,4.3%,1.8%,1.8%,3.0%,4.4%,4.3%,4.3%,4.3%,4.3%,3.0%,4.3%,4.3%,3.0%,#DIV/0!,1.8%,1.8%,1.8%,4.3%,3.0%,1.8%,3.0%,4.3%,3.0%,4.3%,4.3%,#DIV/0!,1.8%,1.8%,4.3%,1.8%,4.4%,1.8%,4.4%,4.3%,1.8%,3.0%,4.3%,4.3%,#DIV/0!,4.3%,4.3%,4.3%,1.8%,3.0%,3.0%,#DIV/0!,3.0%,4.4%,3.0%,1.8%,3.0%,1.8%,4.4%,4.4%,1.8%,4.3%,4.3%,1.8%,1.8%,1.8%,3.0%,4.3%,4.4%,3.0%,4.3%,3.0%,4.4%,3.0%,4.4%,4.3%,4.4%,4.3%,4.3%,4.3%,#DIV/0!,4.4%,4.3%,1.8%,1.8%,1.8%,4.3%,3.0%,4.3%,3.0%,1.8%,4.3%,4.4%,1.8%,4.4%,4.3%,4.3%,#DIV/0!,4.3%,4.3%,4.4%,4.3%,#DIV/0!,4.3%,4.3%,3.0%,1.8%,1.8%,4.4%,4.4%,1.8%,4.3%,4.4%,3.0%,3.0%,4.4%,4.4%,4.4%,1.8%,3.0%,#DIV/0!,1.8%,3.0%,4.3%,4.3%,#DIV/0!,1.8%,3.0%,4.3%,4.3%,4.3%,4.3%,4.4%,4.3%,3.0%,1.8%,#DIV/0!,1.8%,4.3%,4.3%,3.0%,1.8%,1.8%,1.8%,#DIV/0!,4.3%,4.3%,4.4%,3.0%,3.0%,4.4%,4.4%,3.0%,4.3%,1.8%,4.4%,#DIV/0!,4.3%,4.3%,3.0%,3.0%,1.8%,3.0%,3.0%,4.4%,4.4%,4.4%,4.3%,4.3%,4.3%,4.3%
2030,4.2%,4.2%,1.8%,#DIV/0!,4.2%,2.9%,2.9%,2.9%,1.8%,1.8%,2.9%,4.2%,1.8%,4.2%,4.2%,4.2%,1.8%,4.2%,2.9%,1.8%,2.9%,2.9%,2.9%,2.9%,2.9%,2.9%,4.2%,4.2%,4.2%,4.2%,1.8%,1.8%,2.9%,4.2%,4.2%,4.2%,4.2%,4.2%,2.9%,4.2%,4.2%,2.9%,#DIV/0!,1.8%,1.8%,1.8%,4.2%,2.9%,1.8%,2.9%,4.2%,2.9%,4.2%,4.2%,#DIV/0!,1.8%,1.8%,4.2%,1.8%,4.2%,1.8%,4.2%,4.2%,1.8%,2.9%,4.2%,4.2%,#DIV/0!,4.2%,4.2%,4.2%,1.8%,2.9%,2.9%,#DIV/0!,2.9%,4.2%,2.9%,1.8%,2.9%,1.8%,4.2%,4.2%,1.8%,4.2%,4.2%,1.8%,1.8%,1.8%,2.9%,4.2%,4.2%,2.9%,4.2%,2.9%,4.2%,2.9%,4.2%,4.2%,4.2%,4.2%,4.2%,4.2%,#DIV/0!,4.2%,4.2%,1.8%,1.8%,1.8%,4.2%,2.9%,4.2%,2.9%,1.8%,4.2%,4.2%,1.8%,4.2%,4.2%,4.2%,#DIV/0!,4.2%,4.2%,4.2%,4.2%,#DIV/0!,4.2%,4.2%,2.9%,1.8%,1.8%,4.2%,4.2%,1.8%,4.2%,4.2%,2.9%,2.9%,4.2%,4.2%,4.2%,1.8%,2.9%,#DIV/0!,1.8%,2.9%,4.2%,4.2%,#DIV/0!,1.8%,2.9%,4.2%,4.2%,4.2%,4.2%,4.2%,4.2%,2.9%,1.8%,#DIV/0!,1.8%,4.2%,4.2%,2.9%,1.8%,1.8%,1.8%,#DIV/0!,4.2%,4.2%,4.2%,2.9%,2.9%,4.2%,4.2%,2.9%,4.2%,1.8%,4.2%,#DIV/0!,4.2%,4.2%,2.9%,2.9%,1.8%,2.9%,2.9%,4.2%,4.2%,4.2%,4.2%,4.2%,4.2%,4.2%
2031,3.6%,4.5%,1.7%,#DIV/0!,4.5%,2.9%,2.7%,2.9%,1.7%,1.7%,2.7%,4.5%,1.7%,4.5%,4.5%,3.6%,1.7%,4.5%,2.9%,1.7%,2.7%,2.9%,2.9%,2.9%,2.9%,2.9%,3.6%,3.6%,4.5%,4.5%,1.7%,1.7%,2.9%,3.6%,4.5%,4.5%,4.5%,4.5%,2.9%,4.5%,4.5%,2.9%,#DIV/0!,1.7%,1.7%,1.7%,4.5%,2.9%,1.7%,2.9%,4.5%,2.9%,4.5%,4.5%,#DIV/0!,1.7%,1.7%,4.5%,1.7%,3.6%,1.7%,3.6%,4.5%,1.7%,2.7%,4.5%,4.5%,#DIV/0!,4.5%,4.5%,4.5%,1.7%,2.9%,2.9%,#DIV/0!,2.9%,3.6%,2.9%,1.7%,2.9%,1.7%,3.6%,3.6%,1.7%,4.5%,4.5%,1.7%,1.7%,1.7%,2.9%,4.5%,3.6%,2.7%,4.5%,2.7%,3.6%,2.9%,3.6%,4.5%,3.6%,4.5%,4.5%,4.5%,#DIV/0!,3.6%,4.5%,1.7%,1.7%,1.7%,4.5%,2.7%,4.5%,2.9%,1.7%,4.5%,3.6%,1.7%,3.6%,4.5%,4.5%,#DIV/0!,4.5%,4.5%,3.6%,4.5%,#DIV/0!,4.5%,4.5%,2.9%,1.7%,1.7%,3.6%,3.6%,1.7%,4.5%,3.6%,2.9%,2.9%,3.6%,3.6%,3.6%,1.7%,2.9%,#DIV/0!,1.7%,2.9%,4.5%,4.5%,#DIV/0!,1.7%,2.7%,4.5%,4.5%,4.5%,4.5%,3.6%,4.5%,2.9%,1.7%,#DIV/0!,1.7%,4.5%,4.5%,2.9%,1.7%,1.7%,1.7%,#DIV/0!,4.5%,4.5%,3.6%,2.7%,2.7%,3.6%,3.6%,2.9%,4.5%,1.7%,3.6%,#DIV/0!,4.5%,4.5%,2.7%,2.9%,1.7%,2.7%,2.9%,3.6%,3.6%,3.6%,4.5%,4.5%,4.5%,4.5%
2032,3.5%,4.4%,1.6%,#DIV/0!,4.4%,2.8%,2.6%,2.8%,1.6%,1.6%,2.6%,4.4%,1.6%,4.4%,4.4%,3.5%,1.6%,4.4%,2.8%,1.6%,2.6%,2.8%,2.8%,2.8%,2.8%,2.8%,3.5%,3.5%,4.4%,4.4%,1.6%,1.6%,2.8%,3.5%,4.4%,4.4%,4.4%,4.4%,2.8%,4.4%,4.4%,2.8%,#DIV/0!,1.6%,1.6%,1.6%,4.4%,2.8%,1.6%,2.8%,4.4%,2.8%,4.4%,4.4%,#DIV/0!,1.6%,1.6%,4.4%,1.6%,3.5%,1.6%,3.5%,4.4%,1.6%,2.6%,4.4%,4.4%,#DIV/0!,4.4%,4.4%,4.4%,1.6%,2.8%,2.8%,#DIV/0!,2.8%,3.5%,2.8%,1.6%,2.8%,1.6%,3.5%,3.5%,1.6%,4.4%,4.4%,1.6%,1.6%,1.6%,2.8%,4.4%,3.5%,2.6%,4.4%,2.6%,3.5%,2.8%,3.5%,4.4%,3.5%,4.4%,4.4%,4.4%,#DIV/0!,3.5%,4.4%,1.6%,1.6%,1.6%,4.4%,2.6%,4.4%,2.8%,1.6%,4.4%,3.5%,1.6%,3.5%,4.4%,4.4%,#DIV/0!,4.4%,4.4%,3.5%,4.4%,#DIV/0!,4.4%,4.4%,2.8%,1.6%,1.6%,3.5%,3.5%,1.6%,4.4%,3.5%,2.8%,2.8%,3.5%,3.5%,3.5%,1.6%,2.8%,#DIV/0!,1.6%,2.8%,4.4%,4.4%,#DIV/0!,1.6%,2.6%,4.4%,4.4%,4.4%,4.4%,3.5%,4.4%,2.8%,1.6%,#DIV/0!,1.6%,4.4%,4.4%,2.8%,1.6%,1.6%,1.6%,#DIV/0!,4.4%,4.4%,3.5%,2.6%,2.6%,3.5%,3.5%,2.8%,4.4%,1.6%,3.5%,#DIV/0!,4.4%,4.4%,2.6%,2.8%,1.6%,2.6%,2.8%,3.5%,3.5%,3.5%,4.4%,4.4%,4.4%,4.4%
